iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,21221,21221,26049,138
2,18197,18197,23153,138
3,15893,15893,19922,138
4,14424,14424,17787,138
5,12588,12588,15499,138
6,10770,10770,13393,138
7,9229,9229,11746,138
8,7687,7687,9732,138
9,6145,6145,8146,138
10,4743,4743,6832,138
11,4049,4049,5413,138
12,3310,3310,4651,138
13,2423,2423,3501,138
14,1759,1759,2920,138
15,1399,1399,1987,138
16,1106,1106,1568,138
17,807,807,1433,138
18,633,633,1102,138
19,457,457,857,138
20,336,336,632,138
