iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18814,18814,29694,138
2,14456,14456,26489,138
3,11034,11034,22260,138
4,8938,8938,18178,138
5,6819,6819,15293,138
6,5408,5408,12405,138
7,4264,4264,9737,138
8,3430,3430,7670,138
9,2806,2806,6392,138
10,2136,2136,4841,138
11,1823,1823,3937,138
12,1461,1461,3444,138
13,1231,1231,2711,138
14,899,899,1980,138
15,841,841,1718,138
16,541,541,1367,138
17,518,518,1078,138
18,433,433,980,138
19,378,378,983,138
20,240,240,930,138
