iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,33509,33509,54810,253
2,22288,22288,46193,253
3,16013,16013,37771,253
4,10965,10965,30609,253
5,7569,7569,23675,253
6,5304,5304,17919,253
7,4350,4350,13502,253
8,3120,3120,9508,253
9,2354,2354,7257,253
10,1750,1750,5168,253
11,1417,1417,3809,253
12,1215,1215,3259,253
13,1016,1016,2437,253
14,945,945,2009,253
15,851,851,1834,253
16,837,837,1602,253
17,626,626,1532,253
18,544,544,1319,253
19,313,313,1179,253
20,308,308,985,253
