iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18956,18956,46832,138
2,16369,16369,49689,138
3,12539,12539,49602,138
4,11576,11576,49869,138
5,9320,9320,49993,138
6,7280,7280,49833,138
7,5661,5661,50050,138
8,5661,5726,49939,138
9,4997,4997,49317,138
10,3939,3939,49386,138
11,3132,3132,37421,138
12,2618,2618,38692,138
13,2238,2238,26428,138
14,1722,1722,17087,138
15,1189,1189,9687,138
16,822,822,6047,138
17,458,458,2980,138
18,320,320,1613,138
19,178,178,1036,138
20,167,167,520,138
